comment,cluster_name,cluster_size,cluster_prop,init_x,init_y,dim_red_x,dim_red_y,x,y
"Assouplissement de la réglementation sur les sites protégés liés aux monuments historiques , en particulier panneaux solaires et photovoltaïques, développement tuiles, peintures solaires.","panneaux solaire ,géothermie",1196,0.13346724695904474,-1.209573155319157,0.08868341793913051,27.741385,9.145031,-10.419093251228333,-5.428522229194641
"isolation, mise en place chauffe-eau sur énergie solaire","panneaux solaire ,géothermie",1196,0.13346724695904474,1.6193026452516364,-0.04026313070527059,-13.027474,23.419802,-8.909175537526608,-6.9161489605903625
"prochaine étape, installation de panneaux solaires pour l'eau chaude sanitaire","panneaux solaire ,géothermie",1196,0.13346724695904474,0.35628545628857167,0.30742808527599963,9.909977,19.108334,-9.395469009876251,-6.381619572639465
Aide pour installation panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.10773272233730635,1.0806922728757156,23.498451,11.132566,-10.2488511800766,-4.896746873855591
L'ENERGIE SOLAIRE ET THERMIQUE,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.3505212296897726,1.5211175330701048,1.4857893,10.571972,-8.300960958003998,-6.530775725841522
Chauffage solaire.,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.409201444684845,-1.7059126679944383,24.180899,28.873554,-7.558734893798828,-7.034473419189453
chauffage solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.1130992603657561,0.4606591494199758,24.180147,28.873104,-7.574697256088257,-7.0450592041015625
optimisation chauffage solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.9221729530780994,0.7714783368427474,24.180899,28.873554,-7.571789383888245,-7.022598624229431
"chauffage solaire,","panneaux solaire ,géothermie",1196,0.13346724695904474,0.39741854997684267,-0.6128061011881455,24.180899,28.873554,-7.576795816421509,-7.044379949569702
Chauffage solaire.,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.0823652234899257,0.0022477008671041836,24.18083,28.87542,-7.559231400489807,-7.038129806518555
chauffage solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.18521586165560558,-0.7205985988135577,24.180693,28.875538,-7.573126316070557,-7.0228599309921265
chauffage solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.6232309568372987,0.5236401689271977,24.180742,28.873398,-7.583292484283447,-7.033785820007324
Favoriser les études sur l'utilisation de la géothermie et les panneaux solaire sur l'habitat collectif,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.05738136197091807,-0.3696799033396162,-0.3104041,-1.6592495,-8.239259898662567,-6.77044814825058
aide pour la pose de panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.6359505928497399,-1.7644638216402455,28.093124,19.196058,-10.500858306884766,-5.655883610248566
Une prise en charge a 75% pour l instalation de panneaux solaire et de pompe a chaleur,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.047997079945911146,0.8684366449769925,-5.068422,-27.72242,-10.819664716720581,-6.353661775588989
chauffage avec panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.4707551154030156,-0.723976317465705,27.578962,14.242512,-10.632939338684082,-5.2796266078948975
La production et le stockage de l'énergie solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.33452792422803757,-1.9376575709403998,-1.2829591,8.490075,-7.668108344078064,-5.49101722240448
subventionner la pose de panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.6321129530866868,0.33723045949856395,27.996038,20.443268,-10.648834228515625,-5.644391477108002
aides pour panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.36278100210762143,1.9676027431398153,28.388313,13.250635,-10.455591559410095,-5.144860088825226
"Energies alternatives, panneaux solaires, géothermie...","panneaux solaire ,géothermie",1196,0.13346724695904474,0.4471014469614625,-1.338734834129942,29.544832,14.862206,-10.994168519973755,-5.097230672836304
L’utilisation de panneaux solaires.,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.2954682568299458,-0.9208441073914506,30.047085,12.710065,-10.790207147598267,-4.867841482162476
Mixer les sources d'énergie en ajoutant des panneaux solaires pour produire de l'eau chaude ou de la climatisation ; réguler et contrôler les consommations ; informer la population sur les habitudes moins consommatrices d'energie avec un rendu identique,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.541165123120544,-0.7302581176960281,7.380487,6.9475417,-9.18862335383892,-6.258638918399811
Développer  la recherche dans l’énergie solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.9168914803683041,-2.0330692608520726,-2.344442,6.1276383,-7.741563320159912,-6.126700475811958
Simplification des démarches pour la mise en plce de panneaux solaires thermique et/ou photovoltaique,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.9288062003574828,2.2765581844240512,9.2559395,6.458688,-10.521127820014954,-6.837271273136139
